 PARM = EPCP;SLAT;SLON;IGPT;JGPT                                                 

    STN    YYMMDD/HHMM      EPCP     SLAT     SLON     IGPT     JGPT
   K11R    060113/0000      0.01    30.22   -96.37   101.75    35.81
   K12N    060113/0000      3.75    41.02   -74.73   148.47    69.19
   K1V4    060113/0000      8.80    44.42   -72.02   152.57    79.77
   K2WX    060113/0000      0.01    45.60  -103.55    87.45    79.74
   K3A6    060113/0000      0.01    34.37  -118.57    51.29    51.93
   K3T5    060113/0000      0.01    29.91   -96.95   100.36    34.98
   K40J    060113/0000      0.25    30.07   -83.57   132.15    36.53
   K4BK    060113/0000     15.91    42.05  -124.28    43.10    75.59
   K4BL    060113/0000      0.16    37.61  -109.46    72.91    58.00
   K4HV    060113/0000      0.39    38.36  -110.71    70.39    60.41
   K87Q    060113/0000      0.05    35.67  -121.28    45.89    56.61
   K8D3    060113/0000      0.14    45.68   -96.99   100.92    79.45
   K9V9    060113/0000      0.02    43.77   -99.32    95.96    73.99
   KAAF    060113/0000      0.25    29.73   -85.01   128.80    35.33
   KAAO    060113/0000      0.02    37.75   -97.22   100.07    56.72
   KAAT    060113/0000      2.90    41.49  -120.56    50.57    72.42
   KABE    060113/0000      2.57    40.65   -75.43   147.13    67.93
   KABR    060113/0000      0.05    45.45   -98.43    97.94    78.83
   KABY    060113/0000      0.19    31.53   -84.18   130.38    40.41
   KACB    060113/0000      0.18    44.99   -85.20   125.25    78.13
   KACT    060113/0000      0.01    31.62   -97.22    99.79    39.69
   KACV    060113/0000     11.25    40.98  -124.10    42.82    72.52
   KACY    060113/0000      2.39    39.45   -74.57   149.48    64.83
   KADC    060113/0000      0.38    46.45   -95.21   104.57    81.69
   KADG    060113/0000      0.02    41.86   -84.07   128.31    69.28
   KADS    060113/0000      0.01    32.97   -96.83   100.76    43.40
   KADU    060113/0000      0.64    41.70   -94.92   105.17    67.88
   KADW    060113/0000      0.60    38.82   -76.87   144.74    62.36
   KAEL    060113/0000      0.66    43.68   -93.37   108.42    73.60
   KAEX    060113/0000      0.03    31.33   -92.55   110.76    38.90
   KAFF    060113/0000      0.55    38.96  -104.81    83.48    60.87
   KAFJ    060113/0000      0.24    40.13   -80.28   136.90    65.14
   KAFN    060113/0000      8.54    42.80   -72.00   153.41    75.15
   KAFW    060113/0000      0.01    32.20   -97.32    99.59    41.29
   KAGC    060113/0000      0.34    40.35   -79.93   137.58    65.84
   KAGS    060113/0000      0.01    33.37   -81.97   135.06    45.93
   KAHN    060113/0000      0.01    33.95   -83.32   131.82    47.24
   KAIA    060113/0000      0.27    42.05  -102.80    88.39    69.36
   KAIG    060113/0000      0.03    45.03   -89.13   117.13    77.77
   KAIO    060113/0000      0.58    41.40   -95.05   104.89    67.02
   KAIT    060113/0000      0.38    46.55   -93.68   107.69    81.99
   KAKH    060113/0000      0.07    35.20   -81.15   136.43    51.16
   KAKO    060113/0000      0.24    40.17  -103.22    87.17    64.06
   KAKQ    060113/0000      0.50    36.98   -77.00   145.14    57.19
   KAKR    060113/0000      0.16    41.03   -81.46   134.09    67.42
   KALB    060113/0000      6.39    42.75   -73.80   149.67    74.39
   KALO    060113/0000      0.29    42.55   -92.40   110.51    70.37
   KALS    060113/0000      0.24    37.45  -105.87    80.82    56.81
   KALW    060113/0000      1.06    46.10  -118.28    57.66    84.73
   KAMG    060113/0000      0.08    31.53   -82.52   134.26    40.75
   KAMN    060113/0000      0.08    43.32   -84.69   126.67    73.36
   KAMW    060113/0000      0.48    41.99   -93.62   107.94    68.72
   KANB    060113/0000      0.02    33.59   -85.85   126.09    45.80
   KAND    060113/0000      0.02    34.50   -82.72   133.05    48.88
   KANE    060113/0000      0.35    45.15   -93.22   108.68    77.89
   KANJ    060113/0000      0.30    46.48   -84.36   126.64    82.62
   KANW    060113/0000      0.05    42.58   -99.98    94.45    70.60
   KAOH    060113/0000      0.01    40.70   -84.02   128.68    65.98
   KAOO    060113/0000      0.66    40.30   -78.32   141.06    66.11
   KAPA    060113/0000      0.80    39.56  -104.85    83.52    62.57
   KAPC    060113/0000      0.48    38.21  -122.28    45.09    64.02
   KAPF    060113/0000      0.15    26.15   -81.77   137.45    26.22
   KAPG    060113/0000      1.15    39.46   -76.16   146.03    64.36
   KAPN    060113/0000      0.39    45.07   -83.57   128.59    78.62
   KAQP    060113/0000      0.25    45.23   -96.00   102.94    78.10
   KAQR    060113/0000      0.01    34.40   -96.15   102.37    47.35
   KAQW    060113/0000      7.11    42.70   -73.17   151.01    74.46
   KARA    060113/0000      0.00    30.03   -91.88   112.42    35.36
   KARB    060113/0000      0.03    42.21   -83.75   128.90    70.33
   KARG    060113/0000      0.02    36.13   -90.92   114.20    52.29
   KART    060113/0000      4.20    44.00   -76.02   144.52    77.28
   KARV    060113/0000      0.06    45.90   -89.70   115.85    80.28
   KASD    060113/0000      0.00    30.34   -89.82   117.29    36.36
   KASE    060113/0000      1.65    39.22  -106.87    79.04    61.96
   KASH    060113/0000      9.07    42.78   -71.52   154.42    75.27
   KASJ    060113/0000      0.49    36.30   -77.17   145.01    55.26
   KAST    060113/0000     11.06    46.15  -123.88    46.45    87.06
   KASX    060113/0000      0.20    46.54   -90.92   113.30    82.08
   KATL    060113/0000      0.02    33.65   -84.43   129.34    46.20
   KATT    060113/0000      0.01    30.29   -97.69    98.62    36.05
   KATW    060113/0000      0.01    44.27   -88.52   118.50    75.62
   KATY    060113/0000      0.15    44.92   -97.15   100.55    77.23
   KAUH    060113/0000      0.21    40.90   -97.98    98.58    65.66
   KAUM    060113/0000      0.55    43.67   -92.93   109.34    73.59
   KAUO    060113/0000      0.09    32.58   -85.50   127.09    43.07
   KAUS    060113/0000      0.01    30.22   -97.67    98.66    35.86
   KAUW    060113/0000      0.04    44.92   -89.62   116.13    77.41
   KAVC    060113/0000      0.21    36.68   -78.05   142.92    56.06
   KAVL    060113/0000      0.03    35.43   -82.55   133.20    51.49
   KAVP    060113/0000      2.81    41.33   -75.73   146.21    69.75
   KAVX    060113/0000      0.05    33.40  -118.41    51.19    49.22
   KAWG    060113/0000      0.05    41.28   -91.67   112.15    66.77
   KAWO    060113/0000      6.24    48.17  -122.17    51.07    92.23
   KAXA    060113/0000      0.81    43.08   -94.27   106.54    71.85
   KAXN    060113/0000      0.24    45.87   -95.38   104.22    79.98
   KAYS    060113/0000      0.09    31.25   -82.40   134.62    40.01
   KAZO    060113/0000      0.01    42.23   -85.55   125.08    70.10
   KBAB    060113/0000      1.23    39.13  -121.43    47.44    66.20
   KBAD    060113/0000      0.05    32.50   -93.67   108.10    42.09
   KBAF    060113/0000      7.36    42.17   -72.72   152.20    73.11
   KBAX    060113/0000      0.20    43.78   -82.99   130.11    74.98
   KBAZ    060113/0000      0.01    29.72   -98.05    97.73    34.51
   KBBB    060113/0000      0.27    45.32   -95.65   103.66    78.36
   KBBW    060113/0000      0.09    41.43   -99.64    95.06    67.28
   KBCB    060113/0000      0.05    37.22   -80.42   137.47    56.94
   KBCE    060113/0000      0.13    37.70  -112.15    67.00    58.95
   KBDE    060113/0000      3.08    48.72   -94.60   105.80    88.46
   KBDL    060113/0000      7.24    41.93   -72.68   152.40    72.45
   KBDR    060113/0000      5.99    41.17   -73.13   151.80    70.15
   KBED    060113/0000      9.10    42.47   -71.28   155.07    74.48
   KBFD    060113/0000      1.11    41.80   -78.63   139.88    70.27
   KBFF    060113/0000      0.45    41.87  -103.60    86.66    68.95
   KBFI    060113/0000      6.22    47.53  -122.30    50.43    90.40
   KBFL    060113/0000      0.00    35.42  -119.05    50.73    55.00
   KBFM    060113/0000      0.06    30.63   -88.07   121.39    37.34
   KBFW    060113/0000      0.54    47.20   -91.40   112.27    84.01
   KBGM    060113/0000      3.39    42.22   -75.98   145.32    72.20
   KBHK    060113/0000      0.00    46.34  -104.25    86.16    82.00
   KBHM    060113/0000      0.01    33.57   -86.75   124.02    45.61
   KBID    060113/0000      7.32    41.17   -71.58   155.08    70.70
   KBIE    060113/0000      0.35    40.32   -96.75   101.21    63.97
   KBIH    060113/0000      0.08    37.37  -118.37    53.18    60.09
   KBIL    060113/0000      0.44    45.80  -108.53    77.31    81.15
   KBIS    060113/0000      0.13    46.77  -100.75    93.34    82.88
   KBIV    060113/0000      0.02    42.83   -86.17   123.65    71.73
   KBIX    060113/0000      0.02    30.42   -88.92   119.41    36.67
   KBJC    060113/0000      1.11    39.90  -105.12    83.00    63.57
   KBJI    060113/0000      1.27    47.50   -94.93   105.14    84.80
   KBJJ    060113/0000      0.12    40.87   -81.88   133.24    66.87
   KBKE    060113/0000      0.98    44.83  -117.82    57.96    80.90
   KBKF    060113/0000      0.79    39.70  -104.75    83.76    62.95
   KBKL    060113/0000      0.14    41.52   -81.68   133.48    68.76
   KBKV    060113/0000      0.23    28.47   -82.45   135.20    32.39
   KBKW    060113/0000      0.02    37.78   -81.12   135.76    58.34
   KBKX    060113/0000      0.30    44.30   -96.80   101.25    75.41
   KBLF    060113/0000      0.03    37.30   -81.22   135.68    56.98
   KBLI    060113/0000      6.87    48.80  -122.53    50.74    94.22
   KBLM    060113/0000      3.57    40.18   -74.13   150.11    67.02
   KBLU    060113/0000      1.07    39.28  -120.70    49.09    66.31
   KBML    060113/0000      9.69    44.58   -71.18   154.21    80.53
   KBMQ    060113/0000      0.01    30.73   -98.23    97.37    37.29
   KBNO    060113/0000      1.32    43.58  -118.95    55.01    77.72
   KBNW    060113/0000      0.54    42.05   -93.85   107.45    68.89
   KBOI    060113/0000      0.74    43.57  -116.22    60.66    76.74
   KBOS    060113/0000      9.22    42.37   -71.03   155.64    74.29
   KBPI    060113/0000      2.87    42.57  -110.10    73.06    72.16
   KBPK    060113/0000      0.03    36.37   -92.46   110.71    52.87
   KBQK    060113/0000      0.04    31.25   -81.46   136.82    40.22
   KBRD    060113/0000      0.35    46.40   -94.13   106.77    81.54
   KBRL    060113/0000      0.01    40.78   -91.12   113.37    65.37
   KBTL    060113/0000      0.01    42.30   -85.23   125.75    70.35
   KBTM    060113/0000      1.72    45.95  -112.50    69.28    82.52
   KBTP    060113/0000      0.41    40.78   -79.95   137.40    67.05
   KBTR    060113/0000      0.01    30.53   -91.15   114.12    36.78
   KBTV    060113/0000      7.37    44.47   -73.15   150.23    79.53
   KBUF    060113/0000      1.28    42.93   -78.73   139.28    73.47
   KBUR    060113/0000      0.01    34.20  -118.37    51.66    51.39
   KBUY    060113/0000      0.10    36.03   -79.47   139.96    53.87
   KBVI    060113/0000      0.31    40.77   -80.40   136.44    66.92
   KBVX    060113/0000      0.05    35.73   -91.65   112.58    51.13
   KBWI    060113/0000      0.77    39.18   -76.67   145.04    63.42
   KBYG    060113/0000      0.38    44.38  -106.72    80.64    76.67
   KBYI    060113/0000      1.19    42.53  -113.77    65.33    73.01
   KBZN    060113/0000      1.19    45.78  -111.15    71.96    81.68
   KCAD    060113/0000      0.13    44.28   -85.42   124.94    76.03
   KCAE    060113/0000      0.03    33.95   -81.12   136.85    47.72
   KCAG    060113/0000      2.52    40.50  -107.53    77.93    65.71
   KCAK    060113/0000      0.16    40.92   -81.43   134.19    67.11
   KCAV    060113/0000      0.68    42.75   -93.77   107.60    70.91
   KCBF    060113/0000      0.57    41.27   -95.77   103.35    66.65
   KCBG    060113/0000      0.27    45.57   -93.27   108.56    79.12
   KCCO    060113/0000      0.04    33.31   -84.77   128.63    45.21
   KCCR    060113/0000      0.35    37.98  -122.05    45.46    63.29
   KCCU    060113/0000      1.59    39.47  -106.15    80.67    62.53
   KCCY    060113/0000      0.42    43.07   -92.62   110.02    71.86
   KCDC    060113/0000      0.10    37.70  -113.10    64.91    59.22
   KCDD    060113/0000      0.24    46.27   -92.57   109.96    81.20
   KCDJ    060113/0000      0.09    39.82   -93.57   108.11    62.54
